,day_type,hour_of_day,violation_count
0,Weekday,0,11795
1,Weekday,1,7177
2,Weekday,2,4149
3,Weekday,3,4112
4,Weekday,4,5541
5,Weekday,5,11412
6,Weekday,6,25501
7,Weekday,7,82050
8,Weekday,8,84871
9,Weekday,9,107549
10,Weekday,10,100686
11,Weekday,11,113534
12,Weekday,12,123326
13,Weekday,13,123916
14,Weekday,14,161215
15,Weekday,15,144093
16,Weekday,16,161103
17,Weekday,17,145741
18,Weekday,18,142509
19,Weekday,19,87153
20,Weekday,20,64074
21,Weekday,21,43940
22,Weekday,22,26516
23,Weekday,23,16910
24,Weekend,0,7456
25,Weekend,1,4761
26,Weekend,2,2716
27,Weekend,3,2261
28,Weekend,4,2399
29,Weekend,5,3716
30,Weekend,6,5881
31,Weekend,7,9814
32,Weekend,8,12641
33,Weekend,9,18392
34,Weekend,10,25599
35,Weekend,11,33808
36,Weekend,12,39441
37,Weekend,13,43812
38,Weekend,14,45070
39,Weekend,15,44910
40,Weekend,16,44636
41,Weekend,17,39350
42,Weekend,18,33837
43,Weekend,19,28528
44,Weekend,20,23159
45,Weekend,21,17330
46,Weekend,22,12491
47,Weekend,23,8853
